Rank	Team	Record	Players
year:2025
Active
Avg Age
Team
Total Cap
Allocations
Cap Space
All
Active	Active
Top 3
Dead
Cap
14	 CHI	46-36 	15	25.8	$153,093,665	$-29,438,665	$145,549,077	$86,396,500	$3,872,408
15	 NOP	36-46 	15	25.4	$154,090,191	$-30,435,191	$147,340,203	$79,683,933	-
16	 CLE	44-38 	15	26.7	$154,561,446	$-30,906,446	$121,702,948	$69,710,046	$27,548,352
17	 SAC	30-52 	15	25.1	$154,815,256	$-31,160,256	$134,310,467	$69,804,053	$2,918,699
18	 OKC	24-58 	15	22.6	$155,437,627	$-31,782,627	$98,156,672	$56,082,768	$50,332,843
19	 PHI	51-31 	15	27.1	$164,391,836	$-40,736,836	$149,166,783	$104,249,820	$404,742
20	 BKN	44-38 	15	26.7	$164,774,911	$-41,119,911	$155,025,075	$75,948,672	$4,241,566
21	 DEN	48-34 	15	26.8	$169,601,210	$-45,946,210	$160,688,004	$96,181,120	-
22	 MIN	46-36 	15	25.5	$174,906,722	$-51,251,722	$141,488,618	$94,685,814	$1,836,090
23	 PHX	64-18 	15	28.1	$175,806,777	$-52,151,777	$172,121,677	$108,871,995	$211,044
24	 BOS	51-31 	15	27.2	$176,795,764	$-53,140,764	$176,702,907	$86,628,565	$92,857
25	 LAL	33-49 	15	25.8	$180,067,292	$-56,412,292	$164,962,692	$113,833,458	$2,450,094
26	 DAL	52-30 	15	27.8	$180,090,371	$-56,435,371	$172,025,683	$95,759,580	$1,360,055
27	 MIL	51-31 	15	29.7	$181,849,255	$-58,194,255	$179,802,121	$114,760,248	$211,044
28	 WAS	35-47 	15	26.1	$183,801,576	$-60,146,576	$133,790,093	$90,112,650	$16,216,114
29	 LAC	42-40 	15	28.4	$193,025,318	$-69,370,318	$191,189,228	$104,553,344	-
30	 GSW	53-29 	15	26.7	$199,320,856	$-75,665,856	$188,443,947	$122,286,864	$58,493
Totals	-	450	-	$4,719,868,942	$-1,010,218,942	$4,107,712,682	$2,362,869,629	$390,029,075
Averages	-	15.0	25.7	$157,328,965	$-33,673,965	$136,923,756	$78,762,321	$13,000,969
CAP & APRON RULES/SUMMARY


Rank	Team	Record	Players
year:2021
Active
Avg Age
Team
Total Cap
Allocations
Cap Space
All
Active	Active
Top 3
Dead
Cap
1	 OKC	22-50 	15	23.1	$90,513,233	$21,900,767	$47,135,212	$21,204,432	$33,723,179
2	 MEM	38-34 	15	23.5	$115,994,102	$-3,580,102	$98,318,869	$39,210,321	$17,675,233
3	 NYK	41-31 	15	25.8	$118,396,240	$-5,982,240	$108,415,633	$50,387,977	$9,980,607
4	 CHA	33-39 	15	24.8	$120,990,744	$-8,576,744	$110,117,912	$59,830,263	$10,872,832
5	 SAS	33-39 	15	23.9	$126,419,926	$-14,005,926	$79,863,201	$40,794,208	$46,556,725
6	 ORL	21-51 	15	23.8	$126,992,175	$-14,578,175	$110,991,562	$54,382,143	$7,018,792
7	 DET	20-52 	15	23.9	$128,989,131	$-16,575,131	$83,561,441	$43,509,736	$45,427,690
8	 POR	42-30 	15	24.7	$129,526,823	$-17,112,823	$115,070,759	$70,506,264	$7,134,626
9	 HOU	17-55 	15	23.9	$132,065,764	$-19,651,764	$112,768,849	$76,196,325	$17,807,850
10	 SAC	31-41 	15	26.1	$132,576,503	$-20,162,503	$126,382,298	$66,887,591	$3,035,962
11	 ATL	41-31 	15	25.6	$132,773,339	$-20,359,339	$132,773,339	$61,475,000	-
12	 CLE	22-50 	15	25.3	$133,138,401	$-20,724,401	$129,666,274	$68,758,256	$3,472,127
13	 PHX	51-21 	15	27.7	$133,742,329	$-21,328,329	$129,977,221	$75,083,550	$3,765,108
14	 NOP	31-41 	15	25.5	$134,663,536	$-22,249,536	$132,604,966	$74,331,998	$569,505
15	 BOS	36-36 	15	25.6	$135,425,801	$-23,011,801	$132,762,560	$81,862,429	$2,663,241
