year,industrial_production_index_2017_100,capacity_utilization_percent,manufacturing_employment_thousand,auto_employment_thousand,electronic_employment_thousand,machinery_employment_thousand,fixed_asset_investment_billion_usd,semiconductor_index_2017_100,auto_production_million_vehicles,steel_production_million_short_tons,autos_export_unit_price,electronics_export_unit_price,lithium_export_unit_price,rare_earths_export_unit_price,semiconductors_export_unit_price,soybeans_export_unit_price,autos_export_value_billion_usd,electronics_export_value_billion_usd,lithium_export_value_billion_usd,rare_earths_export_value_billion_usd,semiconductors_export_value_billion_usd,soybeans_export_value_billion_usd,autos_import_unit_price,electronics_import_unit_price,lithium_import_unit_price,rare_earths_import_unit_price,semiconductors_import_unit_price,soybeans_import_unit_price,autos_import_value_billion_usd,electronics_import_value_billion_usd,lithium_import_value_billion_usd,rare_earths_import_value_billion_usd,semiconductors_import_value_billion_usd,soybeans_import_value_billion_usd,autos_top_export_dest,electronics_top_export_dest,lithium_top_export_dest,rare_earths_top_export_dest,semiconductors_top_export_dest,soybeans_top_export_dest,autos_top_import_source,electronics_top_import_source,lithium_top_import_source,rare_earths_top_import_source,semiconductors_top_import_source,soybeans_top_import_source,dxy,cny,brl,ars,eur,jpy,us2y,us5y,us10y,us30y,credit_spread_bbb_aaa,sp500,nasdaq,carz,smh,xli,erp,cpi_all,cpi_core,cpi_food_beverage,cpi_auto,ppi_intermediate,ppi_final,import_price_index,ppi_auto_parts,ppi_electronic_components,gdp_real,gdp_yoy,pmi,ceo_confidence,oecd_bci,consumer_confidence,soybean,soy_oil,soy_meal,dy_oxide,prnd_oxide,nd_oxide,lithium,cu,al,polysilicon,cobalt,nickel

--- Tariff Policy ---
country,hs6,start_date,end_date,tariff_rate,type,notes
Global,ALL,2016-01-01,2024-12-31,MFN 0–20%,MFN baseline,Global MFN rates (avg ~3%)
Global,ALL,2025-04-05,2025-08-06,10%,Reciprocal baseline,Global reciprocal tariff introduced
Global,ALL,2025-08-07,,10% + country-specific 0–40%,Reciprocal updated,Post-Aug update with country tiers
China,ALL,2018-07-06,,7.5%–25%,Section 301,List 1–4 tariffs (trade war)
China,ALL,2025-04-10,2025-11-15,30%–57%,Reciprocal + Section 301 + IEEPA,Peak combined tariffs
China,ALL,2025-11-16,,~30%,Post-agreement,Mutual tariff reduction after deal
EU,Steel/Aluminum,2025-03-12,2025-06-03,25%,Section 232,Exemptions removed
EU,Steel/Aluminum,2025-06-04,,50%,Section 232,Tariff doubled
Brazil,ALL,2025-08-07,,50%,Reciprocal,Higher-tier reciprocal rate
Canada/Mexico,Selected,2025-02-01,2025-04-30,25%–35%,IEEPA + Section 232,Partial rollback later
